Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,1,Jan,1820212,1820212 - RENDAS CAPITAL DE GIRO,120317.26,111429.54,-7.38690359138831,-8887.72
2020,1,Jan,1820213,1820213 - RENDAS BANESTES FINANCEIRA,0,0,0,0
2020,1,Jan,1820214,1820214 - RENDAS CARTAO VISA,41167.52,35947.64,-12.679607612992,-5219.88
2020,1,Jan,1820215,1820215 - RENDAS CARTAO BANESCARD,67652.17,62981.58,-6.90382880549137,-4670.59
2020,1,Jan,1820216,1820216 - RENDAS TITULOS DESCONTADOS,28780.55,30810.73,7.05400001042371,2030.18
2020,1,Jan,1820217,1820217 - RENDAS F. INVESTIMENTO,1363.98,27.56,-97.9794425138198,-1336.42
2020,1,Jan,1820218,1820218 - RENDAS F. VEICULOS,0,0,0,0
2020,1,Jan,1820219,1820219 - RENDAS F. BENS,5486.81,5057.42,-7.8258587412358,-429.39
2020,1,Jan,1820221,1820221 - RENDAS F. RURAIS,0,0,0,0
2020,1,Jan,1820222,1820222 - RENDAS F. IMOBILIARIOS,25188.22,27544.75,9.35568293432405,2356.53
2020,1,Jan,1820223,1820223 - RENDAS LEASING,0,0,0,0
2020,1,Jan,1820224,1820224 - RENDAS DE CAMBIO,0,0,0,0
2020,1,Jan,1820225,1820225 - RENDAS F. INFRAESTRUTURA,0,0,0,0
2020,1,Jan,1820226,1820226 - RENDAS MOEDA ESTRANGEIRA,0,0,0,0
2020,2,Fev,18201,18201 - SALDO DA CARTEIRA DE CREDITO,38463843.1,37338798.14,-2.92494163174246,-1125044.96
2020,2,Fev,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,462.35,0,462.35
2020,2,Fev,1820102,1820102 - CHEQUE CONFIANCA,305523.68,227108.22,-25.6659189232075,-78415.46
2020,2,Fev,1820103,1820103 - CHEQUE ESPECIAL BANESTES,331538.71,216776.39,-34.6150589775776,-114762.32
2020,2,Fev,1820104,1820104 - CREDITOS CEDIDOS,0,0,0,0
2020,2,Fev,1820105,1820105 - CONTA GARANTIDA,910851.09,672448.45,-26.1736130765348,-238402.64
2020,2,Fev,1820106,1820106 - REESTRUTURACAO DE DIVIDAS,2095637.32,2216447.97,5.76486440888542,120810.65
2020,2,Fev,1820107,1820107 - CONSIGNADO,18033861.62,17471310.39,-3.11941636158568,-562551.23
2020,2,Fev,1820108,1820108 - MICROCREDITO,107461.4,133697.13,24.4140965965454,26235.73
2020,2,Fev,1820109,1820109 - VENDOR,0,0,0,0
2020,2,Fev,1820110,1820110 - COMPROR,0,0,0,0
2020,2,Fev,1820111,1820111 - CREDITO PESSOAL,2716080.81,2698512.85,-0.646812861212331,-17567.96
2020,2,Fev,1820112,1820112 - CAPITAL DE GIRO,7473440.68,7168787.18,-4.07648248035603,-304653.5
2020,2,Fev,1820113,1820113 - BANESTES FINANCEIRA,0,0,0,0
2020,2,Fev,1820114,1820114 - CARTAO VISA,606920.69,507142.02,-16.4401497006141,-99778.6699999999
2020,2,Fev,1820115,1820115 - CARTAO BANESCARD,754695.96,728952.23,-3.41113923546112,-25743.73
2020,2,Fev,1820116,1820116 - TITULOS DESCONTADOS,960277.98,1145227.37,19.2599844890747,184949.39
2020,2,Fev,1820117,1820117 - F. PARA INVESTIMENTOS,149792.24,2120.73,-98.5842190489975,-147671.51
2020,2,Fev,1820118,1820118 - F. VEICULOS,0,0,0,0
2020,2,Fev,1820119,1820119 - F. BENS,330741.49,258987.96,-21.6947471573645,-71753.53
2020,2,Fev,1820120,1820120 - F. MOEDA ESTRANGEIRA,0,0,0,0
2020,2,Fev,1820121,1820121 - F. RURAIS,0,0,0,0
2020,2,Fev,1820122,1820122 - F. IMOBILIARIOS,3687019.43,3890816.9,5.52743140819303,203797.47
2020,2,Fev,1820123,1820123 - LEASING,0,0,0,0
2020,2,Fev,1820124,1820124 - CAMBIO,0,0,0,0
2020,2,Fev,1820126,1820126 - F. INFRAESTRUTURA,0,0,0,0
2020,2,Fev,1820127,1820127 - OPERACOES COM CARTAO DE CREDITO,0,0,0,0
2020,2,Fev,1820128,1820128 - OUTROS CREDITOS,0,0,0,0
